County,disability_count,obese_population,nh_residents,disability_norm,nursing_norm,obesity_norm,survivability,survivability_category
Alamance,10789,65917,739.0,0.7672404120194789,0.6915692821368948,0.8047486540439175,0.752007989167906,High
Alexander,3232,13355,113.0,0.9368281681290815,0.9528380634390651,0.9637287520416188,0.9505018066613369,High
Alleghany,1058,3959,73.0,0.9856152240748637,0.9695325542570952,0.9921480854152804,0.9819461480407696,High
Anson,2157,9629,125.0,0.960952402324903,0.9478297161936561,0.9749984876897949,0.9605732877884341,High
Ashe,2805,9683,127.0,0.9464105383631427,0.9469949916527546,0.9748351581876474,0.9551424829618582,High
Avery,1411,6592,67.0,0.9776934987993986,0.9720367278797997,0.9841842598753856,0.9776608573003349,High
Beaufort,4112,16675,233.0,0.9170799578106416,0.902754590984975,0.9536870122799589,0.9230481957624534,High
Bertie,2140,7780,114.0,0.9613339018424183,0.9524207011686143,0.980591010828141,0.9639914143023036,High
Bladen,3028,12373,149.0,0.9414061623392653,0.9378130217028381,0.9666989292843748,0.9477363932000484,High
Brunswick,10128,45261,457.0,0.7820740109063979,0.8092654424040067,0.867225213235739,0.8171363726293632,High
Buncombe,16831,84779,1507.0,0.6316509952649177,0.3710350584307178,0.7476982638678846,0.5752495979538378,Medium
Burke,9599,32267,441.0,0.793945378245551,0.8159432387312187,0.906527130845079,0.8354191551953931,High
Cabarrus,11329,75444,579.0,0.7551221920513453,0.758347245409015,0.7759330953965278,0.7624942317300843,High
Caldwell,7575,27098,351.0,0.8393662619779628,0.8535058430717863,0.922161393745085,0.8691536548909377,High
Camden,1087,3663,0.0,0.9849644307802787,1.0,0.9930433730566813,0.9926505626901019,High
Carteret,5634,23265,237.0,0.8829245304189762,0.901085141903172,0.933754763777146,0.9045298144458956,High
Caswell,2054,9055,137.0,0.963263840578084,0.9428213689482471,0.9767346198052145,0.9601502092757801,High
Catawba,11838,60506,644.0,0.743699647673975,0.7312186978297162,0.821114875083177,0.7625558834512449,High
Chatham,4065,23421,266.0,0.918134691770831,0.8889816360601002,0.9332829229931644,0.9124755916387752,High
Cherokee,2672,10105,171.0,0.9493952110589978,0.9286310517529215,0.973558768374569,0.9493768224965424,High
Chowan,932,5568,68.0,0.9884428087340948,0.9716193656093489,0.9872814711753675,0.9822062023728155,High
Clay,1209,4008,76.0,0.9822266107134041,0.9682804674457429,0.9919998790151836,0.9802774410602564,High
Cleveland,8977,38538,414.0,0.8079037723569937,0.827212020033389,0.8875597362531003,0.8385584482125639,High
Columbus,4593,21023,248.0,0.906285765579767,0.8964941569282137,0.9405359627366765,0.9131337616987962,High
Craven,7671,37229,388.0,0.8372119117614057,0.8380634390651085,0.8915189643699716,0.8538020621002713,High
Cumberland,26009,135001,908.0,0.4256861381028253,0.6210350584307178,0.5957957776299074,0.5450911520757122,Medium
Currituck,1550,9712,69.0,0.9745741792150087,0.9712020033388982,0.9747474441957534,0.9734458971525933,High
Dare,2011,11744,97.0,0.9642288099459169,0.9595158597662772,0.9686014155223519,0.9638910590559735,High
Davidson,14214,61533,669.0,0.6903794798141873,0.7207846410684474,0.8180085899219648,0.7393100192855115,High
Davie,3594,14401,234.0,0.9287044725208141,0.9023372287145242,0.9605649990926138,0.9290340951601526,High
Duplin,4790,19334,240.0,0.9018648594062072,0.8998330550918197,0.9456445466094006,0.9142876340571295,High
Durham,16119,119755,920.0,0.6476290927043827,0.6160267111853088,0.6419091404028794,0.6348522734822558,Medium
Edgecombe,4839,21481,226.0,0.9007652431498395,0.9056761268781303,0.939150686588833,0.9139996854864394,High
Forsyth,24207,158698,1314.0,0.4661250869594489,0.4515859766277128,0.5241213477708548,0.478435276586763,Medium
Franklin,6024,26532,227.0,0.8741724826642131,0.9052587646076795,0.9238733288972234,0.8999629352143294,High
Gaston,18408,82238,775.0,0.5962613047283499,0.6765442404006679,0.7553838243300466,0.6720970880941702,Medium
Gates,1305,4120,52.0,0.980072260496847,0.9782971619365609,0.9916611215292481,0.9829276343104671,High
Graham,795,2833,54.0,0.9915172460223065,0.9774624373956594,0.9955538079970964,0.987809031595417,High
Granville,4477,22089,222.0,0.9088889387581068,0.9073455759599333,0.9373117173794688,0.9168755953651546,High
Greene,1595,8810,101.0,0.9735643275509975,0.9578464106844742,0.9774756518056984,0.9692364539241247,High
Guilford,31271,206767,1992.0,0.3076008168577904,0.1686143572621035,0.3787308692759058,0.2802945717247346,Low
Halifax,5540,20686,218.0,0.885033998339355,0.9090150250417363,0.9415552598148932,0.9103837361278498,High
Harnett,9548,49112,395.0,0.795089876798097,0.8351419031719532,0.8555774000362955,0.827254343000406,High
Haywood,5476,20732,438.0,0.8864702318170598,0.817195325542571,0.9414161272760269,0.8787077832586787,High
Henderson,8510,35630,698.0,0.8183837885146203,0.7086811352253757,0.8963553324057831,0.8033793230307334,High
Hertford,2303,9167,116.0,0.9576759947038891,0.9515859766277128,0.9763958623192789,0.9611604486618442,High
Hoke,4973,19957,125.0,0.8977581293058953,0.9478297161936561,0.9437602080938842,0.9290838083530082,High
Hyde,420,1895,0.0,0.9999326765557326,1.0,0.9983909019418064,0.9994937073770482,High
Iredell,10960,61462,462.0,0.7634029756962366,0.8071786310517529,0.8182233379710846,0.7951705637531217,High
Jackson,2316,14941,171.0,0.9573842597787303,0.9286310517529215,0.958931704071139,0.9477848702574199,High
Johnston,15062,75509,536.0,0.6713493862345998,0.7762938230383973,0.7757364950698687,0.7393960717665096,High
Jones,1230,3697,60.0,0.9817553466035323,0.9749582637729549,0.9929405359627367,0.9827319244205915,High
Lee,4840,24055,262.0,0.9007428020017504,0.8906510851419032,0.9313653136531366,0.9063974545962197,High
Lenoir,6976,23421,290.0,0.8528085096833554,0.8789649415692822,0.9332829229931644,0.8861055848363724,High
Lincoln,6889,30477,266.0,0.8547608895671103,0.8889816360601002,0.911941201379227,0.8838922443832917,High
Macon,3419,13098,128.0,0.9326316734364131,0.9465776293823038,0.9645060794870244,0.9470750798326582,High
Madison,1724,7375,161.0,0.970669419447499,0.9328046744574291,0.9818159820942471,0.960760727494999,High
Martin,2715,8927,116.0,0.948430241691165,0.9515859766277128,0.9771217712177122,0.9581422077769208,High
McDowell,4483,15813,228.0,0.908754291869572,0.9048414023372288,0.9562942350734983,0.9216467634944296,High
Mecklenburg,42285,330801,2396.0,0.06043401180404384,0.0,0.0035751013247837804,0.02222443452885048,Low
Mitchell,1739,5550,102.0,0.9703328022261619,0.9574290484140233,0.98733591434275,0.9709174220268897,High
Montgomery,2669,10022,100.0,0.9494625345032652,0.9582637729549248,0.9738098118686105,0.9598471511709497,High
Moore,6768,32628,526.0,0.8574762684858958,0.7804674457429048,0.9054352428770189,0.8449108728431858,High
Nash,8050,36366,365.0,0.8287067166356231,0.8476627712854758,0.8941292117839211,0.8549680843075609,High
New Hanover,12343,71145,851.0,0.7323668678889612,0.6448247078464107,0.7889359385397132,0.7186978330692941,High
Northampton,1949,7615,128.0,0.9656201611274433,0.9465776293823038,0.9810900731958139,0.9635962486371557,High
Onslow,12044,68695,235.0,0.739076771167613,0.9019198664440735,0.7963462585445527,0.8132527007274559,High
Orange,5231,42587,392.0,0.8919683130988981,0.8363939899833055,0.8753130482124494,0.867520720542506,High
Pamlico,1317,4484,75.0,0.9798029667197774,0.9686978297161937,0.9905601596999577,0.9791433266625772,High
Pasquotank,3121,15672,242.0,0.9393191355669757,0.8989983305509182,0.9567207065513278,0.930427325106661,High
Pender,4619,21925,193.0,0.9057022957294495,0.919449081803005,0.9378077551267316,0.9201453086743785,High
Perquimans,1386,4924,64.0,0.978254527501627,0.9732888146911519,0.9892293267194967,0.9798089677833216,High
Person,3770,15180,144.0,0.9247548304571261,0.9398998330550918,0.958208819793116,0.9400917781672111,High
Pitt,12118,67664,450.0,0.7374161262090169,0.8121869782971619,0.7994646421874054,0.7822004792333841,High
Polk,1600,6891,163.0,0.9734521218105519,0.9319699499165275,0.9832798983727542,0.961881694616304,High
Randolph,11419,57469,502.0,0.7531024887233231,0.7904841402337228,0.8303006472687677,0.7893455143155963,High
Richmond,3873,18455,161.0,0.9224433922039451,0.9328046744574291,0.9483031879499123,0.9338277797164546,High
Robeson,12224,55648,484.0,0.7350373645115684,0.7979966611018364,0.83580848103563,0.7873044532753806,High
Rockingham,8649,34361,476.0,0.8152644689302304,0.8013355592654424,0.9001935757062489,0.8358680825803602,High
Rowan,11926,54925,685.0,0.741724826642131,0.7141068447412353,0.8379952815921602,0.7609396694618262,High
Rutherford,7772,24769,367.0,0.834945355804403,0.8468280467445743,0.9292057346802977,0.8673824112962314,High
Sampson,4568,24615,193.0,0.9068467942819954,0.919449081803005,0.9296715262234589,0.9181050144967878,High
Scotland,3508,15511,177.0,0.9306344112564799,0.926126878130217,0.9572076704373601,0.9370287524165518,High
Stanly,6270,22779,279.0,0.8686519602342856,0.8835559265442404,0.9352247292964733,0.8938401791614261,High
Stokes,5035,16593,299.0,0.8963667781243688,0.8752086811352253,0.9539350311535902,0.906231920086935,High
Surry,7056,29184,406.0,0.8510132178362245,0.830550918196995,0.915852035569536,0.8633030582824877,High
Swain,1036,5786,141.0,0.9861089293328247,0.9411519198664441,0.9866221039259573,0.9705279283975312,High
Transylvania,2174,11131,188.0,0.9605709028073877,0.9215358931552587,0.9704555078337669,0.9498740309370561,High
Tyrrell,417,1363,0.0,1.0,1.0,1.0,1.0,High
Union,10711,80523,574.0,0.7689908215704315,0.7604340567612689,0.7605710483334341,0.7634700219161253,High
Vance,4262,18294,183.0,0.9137137855972711,0.9236227045075125,0.9487901518359446,0.9277048170874576,High
Wake,44978,331983,1797.0,0.0,0.25,0.0,0.0875,Low
Warren,2232,8361,90.0,0.9592693162182178,0.9624373956594324,0.9788337063698506,0.9662474610681326,High
Washington,1589,4877,73.0,0.9736989744395323,0.9695325542570952,0.9893714838787732,0.9769424802074516,High
Watauga,2482,18084,188.0,0.9536590291959337,0.9215358931552587,0.9494253221220736,0.9411458194595395,High
Wayne,9902,46684,513.0,0.7871457103745427,0.7858931552587646,0.8629211783921118,0.8094399564892911,High
Wilkes,6790,25081,317.0,0.8569825632279348,0.8676961602671118,0.9282620531123345,0.8821161691569666,High
Wilson,6553,30336,433.0,0.86230111532506,0.8192821368948247,0.9123676728570564,0.8622644401340767,High
Yadkin,3193,13574,180.0,0.9377033729045579,0.9248747913188647,0.9630663601717985,0.9408222655297375,High
Yancey,1682,6574,99.0,0.9716119476672427,0.9586811352253757,0.9842387030427682,0.9708741899252469,High
