onemap_sdeadmin_colluniv_area,objectid,id,metlnkid,feattype,secclass,name,phone,address,address2,city,state,zip,zipp4,county,fips,directions,emergtitle,emergphone,emergext,contdate,conthow,geodate,geohow,naicscode,naicsdescr,geolinkid,x,y,st_vendor,st_version,geoprec,phoneloc,qc_qa,degree,enroll
919,1,10275649, ,POINT,UNCLASSIFIED,SCHOOL OF COMMUNICATION ARTS,488-8500,3000 WAKEFIELD CROSSING DRIVE, ,RALEIGH,NC,27614, ,WAKE,37183, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611610,FINE ARTS SCHOOLS (EXCEPT ACADEMIC),112129750,-78.5562419,35.9427849,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,298
336,2,10274288, ,POINT,UNCLASSIFIED,WILKES COMMUNITY COLLEGE,838-6100,1328 SOUTH COLLEGIATE DR, ,WILKESBORO,NC,28697,2102,WILKES,37193, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,124774949,-81.180501,36.1385877,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2617
910,3,10274275, ,POINT,UNCLASSIFIED,SANDHILLS COMMUNITY COLLEGE,692-6185,3395 AIRPORT RD, ,PINEHURST,NC,28374,8778,MOORE,37125, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125043330,-79.408172,35.2223862,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,3636
336,4,10274264, ,POINT,UNCLASSIFIED,PIEDMONT BAPTIST COLLEGE,725-8344,716 FRANKLIN ST, ,WINSTON SALEM,NC,27101,5133,FORSYTH,37067, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,17057030,-80.2498452,36.0878547,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,378
910,5,10274259, ,POINT,UNCLASSIFIED,UNIVERSITY OF NORTH CAROLINA-WILMINGTON,962-3000,601 SOUTH COLLEGE ROAD, ,WILMINGTON,NC,28403,3201,NEW HANOVER,37129, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,125444152,-77.8791389,34.2267532,NAVTEQ,2006Q4,BLOCKFACE, , ,DOCTOR'S DEGREE,11839
252,6,10274250, ,POINT,UNCLASSIFIED,NASH COMMUNITY COLLEGE,443-4011,522 N. OLD CARRIAGE ROAD, ,ROCKY MOUNT,NC,27804,9708,NASH,37127, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125363756,-77.9056379,36.0114137,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",2491
704,7,10274247, ,POINT,UNCLASSIFIED,MITCHELL COMMUNITY COLLEGE,878-3200,500 W BROAD STREET, ,STATESVILLE,NC,28677,5264,IREDELL,37097, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,102525536,-80.8937969,35.7829609,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2283
252,8,10274243, ,POINT,UNCLASSIFIED,MARTIN COMMUNITY COLLEGE,792-1521,1161 KEHUKEE PK RD, ,WILLIAMSTON,NC,27892,8307,MARTIN,37117, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125356749,-77.0955936,35.83799,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",956
919,9,10274242, ,POINT,UNCLASSIFIED,LOUISBURG COLLEGE,496-2521,501 N. MAIN ST., ,LOUISBURG,NC,27549,2335,FRANKLIN,37069, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102367056,-78.2979145,36.1038764,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,733
336,10,10274238, ,POINT,UNCLASSIFIED,JOHN WESLEY COLLEGE,889-2262,2314 N CENTENNIAL ST, ,HIGH POINT,NC,27265,3136,GUILFORD,37081, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17073508,-79.9995772,35.9932324,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,140
252,11,10274225, ,POINT,UNCLASSIFIED,ELIZABETH CITY STATE UNIVERSITY,335-3400,1704 WEEKSVILLE RD, ,ELIZABETH CITY,NC,27909,7806,PASQUOTANK,37139, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,90771871,-76.1945629,36.2637803,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,2664
828,12,10274210, ,POINT,UNCLASSIFIED,CALDWELL COMMUNITY COLLEGE AND TECHNICAL INSTITUTE,726-2200,2855 HICKORY BLVD., ,HUDSON,NC,28638,2672,CALDWELL,37027, , , , ,, ,2007/06/26 00:00:00+00,AUTO,61151,TECHNICAL AND TRADE SCHOOLS,125097710,-81.4823134,35.8538261,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,3744
919,13,10272142, ,POINT,UNCLASSIFIED,MOUNT OLIVE COLLEGE,658-2502,634 HENDERSON ST, ,MOUNT OLIVE,NC,28365,1263,WAYNE,37191, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102874146,-78.0684776,35.203774,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,2830
828,14,10272140, ,POINT,UNCLASSIFIED,SOUTH COLLEGE-ASHEVILLE,252-2486,1567 PATTON AVE, ,ASHEVILLE,NC,28806,1748,BUNCOMBE,37021, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),124716897,-82.6148418,35.5748514,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,109
828,15,10272188, ,POINT,UNCLASSIFIED,SOUTHWESTERN COMMUNITY COLLEGE,586-4091,447 COLLEGE DR, ,SYLVA,NC,28779,8581,JACKSON,37099, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,124770800,-83.2045251,35.3503776,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,1925
336,16,10272186, ,POINT,UNCLASSIFIED,GUILFORD COLLEGE,316-2000,5800 W FRIENDLY AVE, ,GREENSBORO,NC,27410,4108,GUILFORD,37081, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17057319,-79.8884464,36.0900969,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,2682
704,17,10275906, ,POINT,UNCLASSIFIED,UNIVERSITY OF PHOENIX-CHARLOTTE CAMPUS,504-5409,"3800 ARCO CORPORATE DRIVE, SUITE 100", ,CHARLOTTE,NC,28273,3438,MECKLENBURG,37119, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,125488667,-80.9478401,35.1514854,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,1301
919,18,10275847, ,POINT,UNCLASSIFIED,APEX SCHOOL OF THEOLOGY,572-1625,5104 REVERE ROAD, ,DURHAM,NC,27713,2421,DURHAM,37063, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,17097863,-78.9108001,35.8948026,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,73
704,19,10275498, ,POINT,UNCLASSIFIED,KING'S COLLEGE,372-0266,322 LAMAR AVENUE, ,CHARLOTTE,NC,28204,2436,MECKLENBURG,37119, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),28229911,-80.8224534,35.2132652,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",515
919,20,10274284, ,POINT,UNCLASSIFIED,WAKE TECHNICAL COMMUNITY COLLEGE,662-3400,9101 FAYETTEVILLE ROAD, ,RALEIGH,NC,27603,5655,WAKE,37183, , , , ,, ,2007/06/26 00:00:00+00,AUTO,61151,TECHNICAL AND TRADE SCHOOLS,109888226,-78.706852,35.6506362,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,11832
336,21,10274283, ,POINT,UNCLASSIFIED,WAKE FOREST UNIVERSITY,758-5255,1834 WAKE FOREST ROAD, ,WINSTON SALEM,NC,27106, ,FORSYTH,37067, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,17046884,-80.2740617,36.1371158,NAVTEQ,2006Q4,BLOCKFACE, , ,DOCTOR'S DEGREE,6716
252,22,10274268, ,POINT,UNCLASSIFIED,ROANOKE BIBLE COLLEGE,334-2070,715 N POINDEXTER ST, ,ELIZABETH CITY,NC,27909,4054,PASQUOTANK,37139, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,90912270,-76.2176558,36.3041259,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,182
919,23,10274261, ,POINT,UNCLASSIFIED,PEACE COLLEGE,508-2000,15 E PEACE ST, ,RALEIGH,NC,27604,1176,WAKE,37183, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17109375,-78.6373757,35.7882396,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,668
704,24,10274241, ,POINT,UNCLASSIFIED,LIVINGSTONE COLLEGE,216-6000,701 W MONROE ST, ,SALISBURY,NC,28144,5213,ROWAN,37159, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102554849,-80.4810563,35.6692068,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,895
336,25,10274230, ,POINT,UNCLASSIFIED,GREENSBORO COLLEGE,272-7102,815 W MARKET ST, ,GREENSBORO,NC,27401,1823,GUILFORD,37081, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17061918,-79.8002879,36.0726586,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,1230
910,26,10274226, ,POINT,UNCLASSIFIED,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,678-8400,2201 HULL RD, ,FAYETTEVILLE,NC,28303,4761,CUMBERLAND,37051, , , , ,, ,2007/06/26 00:00:00+00,AUTO,61151,TECHNICAL AND TRADE SCHOOLS,127886897,-78.9248048,35.066483,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,9950
252,27,10274224, ,POINT,UNCLASSIFIED,EDGECOMBE COMMUNITY COLLEGE,823-5166,2009 W WILSON ST, ,TARBORO,NC,27886,9361,EDGECOMBE,37065, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,102946515,-77.5761403,35.8790368,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2426
704,28,10274216, ,POINT,UNCLASSIFIED,CENTRAL PIEDMONT COMMUNITY COLLEGE,330-2722,1201 ELIZABETH AVENUE, ,CHARLOTTE,NC,28204,2240,MECKLENBURG,37119, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,28229494,-80.830766,35.2174732,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,16636
828,29,10274208, ,POINT,UNCLASSIFIED,BREVARD COLLEGE,883-8292,400 NORTH BROAD STREET, ,BREVARD,NC,28712,3306,TRANSYLVANIA,37175, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102369727,-82.7321901,35.2358908,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,597
828,30,10274207, ,POINT,UNCLASSIFIED,BLUE RIDGE COMMUNITY COLLEGE,694-1700,180 WEST CAMPUS DRIVE, ,FLAT ROCK,NC,28731,4728,HENDERSON,37089, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,127914601,-82.421043,35.3072714,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",2089
704,31,10274204, ,POINT,UNCLASSIFIED,BELMONT ABBEY COLLEGE,825-6700,100 BELMONT-MT HOLLY ROAD, ,BELMONT,NC,28012,2702,GASTON,37071, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),28217953,-81.0421603,35.2635648,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,887
704,32,10272276, ,POINT,UNCLASSIFIED,WINGATE UNIVERSITY,233-8000,220 NORTH CAMDEN ROAD, ,WINGATE,NC,28174,9644,UNION,37179, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,115999336,-80.4436585,34.9851965,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,1633
919,33,10272064, ,POINT,UNCLASSIFIED,SHAW UNIVERSITY,546-8200,118 E SOUTH ST, ,RALEIGH,NC,27601,2341,WAKE,37183, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,17112425,-78.6379858,35.771817,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,2762
704,34,10272060, ,POINT,UNCLASSIFIED,CATAWBA COLLEGE,637-4111,2300 W INNES ST, ,SALISBURY,NC,28144,2441,ROWAN,37159, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102405866,-80.4816967,35.6907307,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,1288
252,35,10271512, ,POINT,UNCLASSIFIED,PITT COMMUNITY COLLEGE,493-7200,1986 PITT TECH ROAD, ,WINTERVILLE,NC,28590,7822,PITT,37147, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125349529,-77.4065033,35.5482516,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,6091
704,36,10275932, ,POINT,UNCLASSIFIED,NEW LIFE THEOLOGICAL SEMINARY,334-6882,3117 WHITING AVE, ,CHARLOTTE,NC,28205,1648,MECKLENBURG,37119, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,28224466,-80.8022917,35.2427625,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,42
336,37,10274279, ,POINT,UNCLASSIFIED,SURRY COMMUNITY COLLEGE,386-3204,630 S. MAIN ST., ,DOBSON,NC,27017,8432,SURRY,37171, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125368500,-80.7149798,36.383546,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2910
704,38,10274277, ,POINT,UNCLASSIFIED,STANLY COMMUNITY COLLEGE,982-0121,141 COLLEGE DR, ,ALBEMARLE,NC,28001,7458,STANLY,37167, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125307195,-80.2340964,35.3371467,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,2033
336,39,10274273, ,POINT,UNCLASSIFIED,SALEM COLLEGE,721-2600,601 S CHURCH ST, ,WINSTON SALEM,NC,27101,5318,FORSYTH,37067, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17057325,-80.2409896,36.087371,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,1109
252,40,10274258, ,POINT,UNCLASSIFIED,NORTH CAROLINA WESLEYAN COLLEGE,985-5100,3400 N WESLEYAN BLVD, ,ROCKY MOUNT,NC,27804,8699,NASH,37127, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102389833,-77.7725442,36.0126391,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,1752
919,41,10274255, ,POINT,UNCLASSIFIED,NORTH CAROLINA CENTRAL UNIVERSITY,530-6100,1801 FAYETTEVILLE STREET, ,DURHAM,NC,27707,3129,DURHAM,37063, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,17089392,-78.9007019,35.9760603,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,8219
910,42,10274248, ,POINT,UNCLASSIFIED,MONTGOMERY COMMUNITY COLLEGE,576-6222,1011 PAGE ST, ,TROY,NC,27371,8387,MONTGOMERY,37123, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125368251,-79.890953,35.3686136,NAVTEQ,2006Q4,BLOCKFACE, , ,"AT LEAST 2, BUT LESS THAN 4 ACADEMIC YRS",850
336,43,10274231, ,POINT,UNCLASSIFIED,GUILFORD TECHNICAL COMMUNITY COLLEGE,334-4822,601 HIGH POINT RD, ,JAMESTOWN,NC,27282,8572,GUILFORD,37081, , , , ,, ,2007/06/26 00:00:00+00,AUTO,61151,TECHNICAL AND TRADE SCHOOLS,135925891,-79.9156206,35.9969828,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,8984
910,44,10274227, ,POINT,UNCLASSIFIED,FAYETTEVILLE STATE UNIVERSITY,672-1111,1200 MURCHISON RD, ,FAYETTEVILLE,NC,28301,4252,CUMBERLAND,37051, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,109857976,-78.8943848,35.0719192,NAVTEQ,2006Q4,BLOCKFACE, , ,DOCTOR'S DEGREE,6072
910,45,10274219, ,POINT,UNCLASSIFIED,COASTAL CAROLINA COMMUNITY COLLEGE,455-1221,444 WESTERN BLVD, ,JACKSONVILLE,NC,28546,6816,ONSLOW,37133, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,125082217,-77.3875903,34.7728789,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,4111
704,46,10274218, ,POINT,UNCLASSIFIED,CLEVELAND COMMUNITY COLLEGE,484-4000,137 S POST RD, ,SHELBY,NC,28152,6205,CLEVELAND,37045, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611210,COMMUNITY COLLEGES,109847758,-81.4916675,35.2829075,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,3047
336,47,10274205, ,POINT,UNCLASSIFIED,BENNETT COLLEGE FOR WOMEN,273-4431,900 E WASHINGTON ST, ,GREENSBORO,NC,27401,3239,GUILFORD,37081, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),17062749,-79.7786635,36.0689516,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,572
828,48,10274201, ,POINT,UNCLASSIFIED,ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE,254-1921,340 VICTORIA RD, ,ASHEVILLE,NC,28801,4816,BUNCOMBE,37021, , , , ,, ,2007/06/26 00:00:00+00,AUTO,61151,TECHNICAL AND TRADE SCHOOLS,125363607,-82.5545893,35.5680173,NAVTEQ,2006Q4,BLOCKFACE, , ,ASSOCIATE'S DEGREE,6337
828,49,10272003, ,POINT,UNCLASSIFIED,MARS HILL COLLEGE,689-1307,100 ATHLETIC ST, ,MARS HILL,NC,28754, ,MADISON,37115, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,COLLEGES (EXCEPT JUNIOR COLLEGES),102513838,-82.5527805,35.8270829,NAVTEQ,2006Q4,BLOCKFACE, , ,BACHELOR'S DEGREE,1308
919,50,10275987, ,POINT,UNCLASSIFIED,UNIVERSITY OF PHOENIX-RALEIGH CAMPUS,854-2134,5511 CAPITAL CENTER DRIVE STE. 380, ,RALEIGH,NC,27606,4168,WAKE,37183, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,UNIVERSITIES,17123174,-78.7290806,35.7672436,NAVTEQ,2006Q4,BLOCKFACE, , ,MASTER'S DEGREE,221
704,51,10275897, ,POINT,UNCLASSIFIED,HOOD THEOLOGICAL SEMINARY,636-7611,1810 LUTHERAN SYNOD DRIVE, ,SALISBURY,NC,28144,5734,ROWAN,37159, , , , ,, ,2007/06/26 00:00:00+00,AUTO,611310,THEOLOGICAL SEMINARIES OFFERING BACCALAUREATE OR GRADUATE DEGREES,112126128,-80.4802542,35.6440947,NAVTEQ,2006Q4,BLOCKFACE, , ,DOCTOR'S DEGREE,251
