"Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote",Latitude,Longitude
"Autumn Care Of Biscoe","401 Lambert Road",Biscoe,NC,27209,9104282117,141,99.8,,35.3659,-79.79
"Hillcrest Convalescent Center","1417 W Pettigrew Street",Durham,NC,27705,9192867705,86,78.1,,36.0047,-78.918
"Cypress Pointe Rehabilitation Center","2006 South 16th Street",Wilmington,NC,28401,9107636271,90,80.0,,34.21,-77.926
"Silas Creek Rehabilitation Center","3350 Silas Creek Parkway","Winston Salem",NC,27103,3367650550,90,78.3,,36.0751,-80.299
"PERSON MEMORIAL HOSPITAL","615 RIDGE ROAD",ROXBORO,NC,27573,3365035707,56,46.5,,36.407,-78.985
"Blumenthal Health and Rehabilitation Center","3724 Wireless Drive",Greensboro,NC,27455,8284592977,134,129.7,,36.12,-79.825
"The Citadel at Myers Park, LLC","300 Providence Road",Charlotte,NC,28207,7043341671,133,3.2,,35.2058,-80.824
"Bear Mountain Health and Rehabilitation","500 Beaverdam Road",Asheville,NC,28804,8282548833,77,68.7,,35.642,-82.529
"Pine Acres Center for Nursing and Rehabilitation","279 Brian Center Drive",Lexington,NC,27292,3362497521,106,101.5,,35.8003,-80.288
"Peak Resources - Charlotte","3223 Central Avenue",Charlotte,NC,28205,7047491100,142,123.1,,35.2167,-80.79
"Linden Place Center for Nursing and Rehabilitation","1201 Carolina Street",Greensboro,NC,27401,3365225700,105,87.8,,36.089,-79.79
"Clapp's Convalescent Nursing Home Inc","500 Mountain Top Drive",Asheboro,NC,27203,3366252074,96,88.0,,35.7095,-79.788
"Clapps Nursing Center Inc","5229 Appomattox Road","Pleasant Garden",NC,27313,3366742252,118,105.2,,35.9587,-79.757
"Royal Park Rehabilitation & Health Center","2700 Roal Commons Lane",Matthews,NC,28105,7048496990,169,139.6,,35.1143,-80.694
"Elizabeth City Health and Rehabilitation","1075 US Highway 17 South","Elizabeth City",NC,27909,2523383975,170,146.1,,36.2891,-76.262
"Summerstone Health and Rehabilitation Center","485 Veterans Way",Kernersville,NC,27284,3365153000,138,116.9,,36.1163,-80.092
"Saint Joseph of the Pines Health Center","103 Gossman Road",Pinehurst,NC,28374,9102461000,176,65.7,,35.187,-79.467
"The Foley Center at Chestnut Ridge","621 Chestnut Ridge Parkway","Blowing Rock",NC,28605,8283863300,92,81.0,,36.1499,-81.66
"Mountain Ridge Health and Rehab","611 Old US Highway 70 East","Black Mountain",NC,28711,8286699991,97,83.2,,35.6076,-82.312
"Raleigh Rehabilitation Center","616 Wade Avenue",Raleigh,NC,27605,9198286251,157,140.1,,35.7965,-78.65
"Jacob's Creek Nursing and Rehabilitation Center","1721 Bald Hill Loop",Madison,NC,27025,3365489658,170,148.4,,36.3619,-79.905
"Anson Health and Rehabilitation","405 South Greene Street",Wadesboro,NC,28170,7046953301,95,66.3,,34.9643,-80.077
"Pettigrew Rehabilitation Center","1515 W Pettigrew Street",Durham,NC,27705,9192860751,96,82.9,,36.0055,-78.92
"Woodhaven Nursing Center","1150 Pine Run Drive",Lumberton,NC,28358,9106715703,115,108.2,,34.6586,-78.99
Pruitthealth-Durham,"3100 Erwin Road",Durham,NC,27705,9193831546,125,101.1,,36.0041,-78.95
"Harmony Park at Wilson","1804 Forest Hills Road W",Wilson,NC,27893,2522378161,110,83.2,,35.7198,-77.952
"Davidson Health & Rehab Center","4748 Old Salisbury Road",Lexington,NC,27295,3369561132,100,90.8,,35.785,-80.323
"Durham Nursing & Rehabilitation Center","411 S Lasalle Street",Durham,NC,27705,9193835521,126,79.8,,36.0136,-78.948
"Carolina Rivers Nursing and Rehabilitation Center","1839 Onslow Drive Extension",Jacksonville,NC,28540,9104553610,120,101.2,,34.764,-77.434
"Sunnybrook Rehabilitation Center","25 Sunnybrook Road",Raleigh,NC,27610,9192316150,95,85.4,,35.7863,-78.586
"Highland Farms","200 Tabernacle Road","Black Mountain",NC,28711,8286696473,60,47.7,,35.6121,-82.351
"The Greens at Viewmont","220 13th Avenue Place NW",Hickory,NC,28601,8283285646,104,87.0,,35.7506,-81.342
"Accordius Health at Rose Manor LLC","4230 North Roxboro Street",Durham,NC,27704,9194779805,111,83.8,,36.0486,-78.903
"Hilltop Health and Rehabilitation","188 Oscar Justice Road",Rutherfordton,NC,28139,8282869001,80,76.3,,35.4107,-81.925
"Trinity Glen","849 Waterworks Road",Winston-Salem,NC,27101,3365952166,117,104.6,,36.113,-80.208
"Walnut Cove Health and Rehabilitation","511 Windmill Street","Walnut Cove",NC,27052,3365914353,90,79.0,,36.2984,-80.143
"Westchester Manor at Providence Place","1795 Westchester Drive","High Point",NC,27262,3368842222,129,121.5,,35.9439,-80.034
"Edgewood Place at the Village at Brookwood","1820 Brookwood Avenue",Burlington,NC,27215,3365708400,51,21.3,,36.0935,-79.463
"Willow Valley Center for Nursing and Rehabilitatio","1900 W 1st Street",Winston-Salem,NC,27104,3367242821,230,217.1,,36.0964,-80.273
"Maryfield Nursing Home","1315 Greensboro Road","High Point",NC,27260,3368214000,115,111.0,,35.99,-79.959
"Chatham Nursing & Rehabilitation","700 Johnston Ridge Road",Elkin,NC,28621,3365277600,99,97.1,,36.3157,-80.816
"Huntersville Oaks","12019 Verhoeff Drive",Huntersville,NC,28078,7048631000,168,87.9,,35.3936,-80.841
"Jesse Helms Nursing Center","1411 Dove Street",Monroe,NC,28111,9809933280,70,62.5,,34.9767,-80.524
"Maggie Valley Nursing and Rehabilitation","75 Fisher Loop","Maggie Valley",NC,28751,8289264326,114,102.3,,35.5169,-83.099
"Matthews Health & Rehab Center","600 Fullwood Lane",Matthews,NC,28105,7048414920,166,124.8,,35.1135,-80.732
"Zebulon Rehabilitation Center","509 West Gannon Avenue",Zebulon,NC,27597,9192699621,60,55.9,,35.8207,-78.324
"Trinity Ridge","2140 Medical Park Drive",Hickory,NC,28602,8283226995,120,111.6,,35.6887,-81.36
"Trinity Place","24724 South Business 52",Albemarle,NC,28001,7049828191,76,71.2,,35.3486,-80.184
"Autumn Care of Waynesville","360 Old Balsam Road",Waynesville,NC,28786,8284567381,90,85.7,,35.4599,-83.012
"Penick Village","401 East Rhode Island Avenue","Southern Pines",NC,28387,9106920306,32,23.6,,35.1745,-79.383
"Willow Creek Nursing and Rehabilitation Center","2401 Wayne Memorial Drive",Goldsboro,NC,27534,9197362121,200,148.8,,35.3982,-77.962
"Salisbury Rehabilitation and Nursing Center","635 Statesville Boulevard",Salisbury,NC,28144,7046337390,185,111.0,,35.6892,-80.492
"Piedmont Hills Center for Nursing and Rehab","109 S Holden Road",Greensboro,NC,27407,3365225600,126,117.9,,36.0715,-79.848
"Northchase Nursing and Rehabilitation Center","3015 Enterprise Drive",Wilmington,NC,28405,9107913451,140,125.0,,34.3071,-77.875
"Carolina Village Inc","600 Carolina Village Road SUITE Z",Hendersonville,NC,28792,8286926275,58,44.2,,35.3373,-82.449
PruittHealth-Elkin,"560 Johnson Ridge Road",Elkin,NC,28621,3368357802,100,84.8,,36.2635,-80.833
"Mount Olive Center","228 Smith Chapel Road","Mount Olive",NC,28365,9196589522,150,117.2,,35.1981,-78.076
"White Oak Manor - Tryon","70 Oak Street",Tryon,NC,28782,8288599161,70,65.7,,35.2104,-82.237
"Davie Nursing and Rehabilitation Center","498 Madison Road",Mocksville,NC,27028,3367513535,96,89.0,,35.9181,-80.594
"Accordius Health at Concord","515 Lake Concord Road NE",Concord,NC,28025,7047844494,120,95.4,,35.4444,-80.6
"Cedar Hills Center for Nursing and Rehabilitation","3905 Clemmons Road",Clemmons,NC,27012,3367669158,94,84.5,,36.0189,-80.392
"Greenhaven Health and Rehabilitation Center","801 Greenhaven Drive",Greensboro,NC,27406,3362928371,120,101.4,,36.024,-79.814
"Ridge Valley Center for Nursing and Rehabilitation","1000 College Street",Wilkesboro,NC,28697,3368384141,120,91.0,,36.1416,-81.165
"Pelican Health Randolph LLC","4801 Randolph Road",Charlotte,NC,28211,7043648363,100,78.5,,35.1721,-80.797
"The Lodge at Rocky Mount Health and Rehabilitation","3322 Village Road","Rocky Mount",NC,27804,2524424156,100,81.8,,35.9776,-77.87
"Lenoir Health and Rehabilitation Center","322 Nuway Circle",Lenoir,NC,28645,8287587326,120,115.6,,35.9438,-81.537
"Piedmont Health & Rehab Center","610 West Fisher Street",Salisbury,NC,28145,7046332781,58,42.8,,35.6711,-80.476
"University Place Nursing and Rehabilitation Center","9200 Glenwater Drive",Charlotte,NC,28262,7045490807,207,161.7,,35.317,-80.75
"Siler City Center","900 W Dolphin Street","Siler City",NC,27344,9196633431,150,132.8,,35.7175,-79.472
"Pine Ridge Health and Rehabilitation Center","706 Pineywood Road",Thomasville,NC,27360,3364759116,140,90.7,,35.8953,-80.102
"The Carrolton of Williamston","119 Gatling Street",Williamston,NC,27892,2527921616,154,116.2,,35.7317,-77.114
"Bethany Woods Nursing and Rehabilitation Center","33426 Old Salisbury Road",Albemarle,NC,28002,7049831195,180,100.9,,35.3897,-80.222
"Friends Homes at Guilford","925 New Garden Road",Greensboro,NC,27410,3362928187,69,62.7,,36.0928,-79.89
"Mill Creek Center for Nursing and Rehabilitation","4911 Brian Center Lane",Winston-Salem,NC,27106,3367445674,66,62.9,,36.1598,-80.294
"Kenansville Rehabilitation and Healthcare Center","209 Beasley Street",Kenansville,NC,28349,9102961561,92,81.3,,34.9641,-77.958
"White Oak Manor - Kings Mountain","716 Sipes Street","Kings Mountain",NC,28086,7047398132,154,135.8,,35.2428,-81.356
"Trinity Village","1265 21 Street NE",Hickory,NC,28601,8283282006,104,97.8,,35.7536,-81.325
"Trinity Oaks","820 Klumac Road",Salisbury,NC,28144,7046373784,115,109.1,,35.6457,-80.484
"Alpine Health and Rehabilitation of Asheboro","230 East Presnell Street",Asheboro,NC,27203,3366291447,238,135.4,,35.7146,-79.809
"Harmony Hall Nursing and Rehabilitation Center","312 Warren Avenue",Kinston,NC,28501,2525230082,175,109.3,,35.2723,-77.584
"Lincolnton Rehabilitation Center","1410 East Gaston Street",Lincolnton,NC,28092,7047321138,120,102.0,,35.473,-81.235
"Davis Health Care Center","1011 Porters Neck Road",Wilmington,NC,28411,9106867195,115,97.1,,34.2922,-77.772
"Abernathy Laurels","102 Leonard Avenue",Newton,NC,28658,8284648260,174,162.3,,35.6447,-81.185
"Accordius Health at Gastonia","416 N Highland Street",Gastonia,NC,28052,7048640371,118,89.9,,35.2691,-81.194
"Glenbridge Health And Rehabilitation","211 Milton Brown Heirs Road",Boone,NC,28607,8282646720,134,107.1,,36.1884,-81.633
"Chowan River Nursing and Rehabilitation Center","1341 Paradise Road",Edenton,NC,27932,2524827481,130,67.8,,36.0784,-76.599
"Autumn Care of Marion","1264 Airport Road",Marion,NC,28752,8286526701,110,102.8,,35.7018,-82.019
"Stokes County Nursing Home","1570 NC 8 and 89 Highway",Danbury,NC,27016,3365932831,40,39.6,,36.4165,-80.226
"Yadkin Nursing and Care Center","903 W Main Street",Yadkinville,NC,27055,3366798863,147,111.0,,36.1354,-80.677
"Macgregor Downs Health Center by Harborview","2910 Macgregor Downs Road",Greenville,NC,27834,2527584121,152,136.7,,35.6116,-77.422
"The Greens at Gastonia","969 Cox Road",Gastonia,NC,28054,7048668596,162,101.8,,35.2761,-81.135
"Crystal Bluffs Rehabilitation and Health Care Cent","4010 Bridges Street Extension","Morehead City",NC,28557,2527260031,92,87.3,,34.7255,-76.758
"White Oak Manor-Shelby","401 N Morgan Street",Shelby,NC,28150,7044827326,160,101.7,,35.2962,-81.542
"Meridian Center","707 North Elm Street","High Point",NC,27262,3368850141,199,167.6,,35.9641,-80.013
"Emerald Health & Rehab Center","54 Red Mulberry Way",Lillington,NC,27546,9108148030,96,90.2,,35.3972,-78.813
"Elevate Health and Rehabilitation","91 Victoria Road",Asheville,NC,28801,8282550076,120,97.9,,35.5766,-82.552
"Smithfield Manor Rehabilitation and Healthcare Cen","902 Berkshire Road",Smithfield,NC,27577,9199343171,160,127.5,,35.5176,-78.328
"The Greens at Pinehurst Rehabilitation & Living Ce","205 Rattlesnake Trail",Pinehurst,NC,28374,9102951781,120,92.3,,35.2058,-79.465
"Accordius Health at Mooresville","752 E Center Avenue",Mooresville,NC,28115,7048000570,131,78.8,,35.5784,-80.799
"Wesley Pines Retirement Community","1000 Wesley Pines Road",Lumberton,NC,28358,9107389691,62,60.5,,34.6569,-78.995
"Greenville Health and Rehabilitation Center","2578 West Fifth Street",Greenville,NC,27834,2527587100,120,115.0,,35.6182,-77.413
"Pruitthealth-Crystal Coast","2416 US Highway 70 East",Beaufort,NC,28516,2522250112,104,91.0,,34.7602,-76.527
"Cabarrus Health and Rehabilitation Center","430 Brookwood Avenue NE",Concord,NC,28025,7047884115,120,105.5,,35.4311,-80.58
"Laurel Park Rehabilitation and Healthcare Center","901 Halstead Boulevard","Elizabeth City",NC,27909,2523380137,108,95.6,,36.2881,-76.242
"Premier Living and Rehab Center","106 Cameron Street","Lake Waccamaw",NC,28450,9106463132,127,62.9,,34.3215,-78.518
"Five Oaks Rehabilitation and Care Center","413 Winecoff School Road",Concord,NC,28027,7047882131,160,146.2,,35.4468,-80.621
"Grace Heights Health & Rehabilitation","109 Foothills Drive",Morganton,NC,28655,8285807000,120,96.4,,35.7271,-81.652
"Murphy Rehabilitation & Nursing","230 NC HWY 141",Murphy,NC,28906,8288357580,134,115.8,,35.0673,-84.126
"Surry Community Health Center by Harborview","542 Allred Mill Road","Mount Airy",NC,27030,3367895076,120,109.3,,36.5234,-80.618
"Longleaf Neuro-Medical Treatment Center","4761 Ward Boulevard",Wilson,NC,27893,2523992112,248,87.9,,35.7251,-77.896
"Mountain View Manor Nursing Center","410 Buckner Branch Road","Bryson City",NC,28713,8284882101,120,70.7,,35.4194,-83.468
Glenflora,"5701 Fayetteville Road",Lumberton,NC,28360,9107392821,52,46.8,,34.6888,-79.016
"Edgecombe Health Center by Harborview","1000 Western Boulevard",Tarboro,NC,27886,2528230401,159,138.5,,35.8968,-77.557
"Mountain Vista Health Park","106 Mountain Vista Health Park Road",Denton,NC,27239,3368592181,60,53.8,,35.6176,-80.111
"Willow Ridge Of NC","237 Tryon Road",Rutherfordton,NC,28139,8282867200,150,124.4,,35.3639,-81.97
"Aston Park Health Care Center","380 Brevard Road",Asheville,NC,28806,8282534437,120,106.2,,35.5627,-82.595
"Carol Woods","750 Weaver Dairy Road","Chapel Hill",NC,27514,9199684511,30,22.4,,35.9638,-79.041
"Pelican Health at Charlotte","2616 East 5th Street",Charlotte,NC,28204,7043335165,120,78.6,,35.2058,-80.812
"Capital Nursing and Rehabilitation Center","3000 Holston Lane",Raleigh,NC,27610,9192316045,125,100.1,,35.7858,-78.582
"Life Care Center of Banner Elk","185 Norwood Hollow Road","Banner Elk",NC,28604,8288985136,118,67.2,,36.1349,-81.85
"StoneCreek Health and Rehabilitation","455 Victoria Road",Asheville,NC,28801,8282520099,120,100.8,,35.5661,-82.556
"Westwood Hills Nursing and Rehabilitation Center","1016 Fletcher Street",Wilkesboro,NC,28697,3366679261,176,118.5,,36.1357,-81.164
"Madison Health and Rehabilitation","345 Manor Road","Mars Hill",NC,28754,8286895200,100,88.1,,35.8327,-82.529
"Liberty Commons Nursing and Rehabilitation Center","1402 Pinckney Street",Whiteville,NC,28472,9106424245,107,99.1,,34.3463,-78.702
"Sapphire Ridge Health and Rehabilitation","115 N Country Club Road",Brevard,NC,28712,8288842031,147,102.2,,35.2242,-82.738
"Brookridge Retirement Community","1199 Hayes Forest Drive",Winston-Salem,NC,27106,3367591044,77,57.0,,36.1439,-80.286
"Elizabethtown Healthcare & Rehab Center","208 Mercer Mill Road",Elizabethtown,NC,28337,9108628181,94,83.4,,34.6222,-78.606
"Riverpoint Crest Nursing and Rehabilitation Center","2600 Old Cherry Point Road","New Bern",NC,28563,2526374730,105,81.4,,35.065,-77.016
"Bethesda Health Care Facility","3532 Dunn Road",Eastover,NC,28301,9103233223,85,83.5,,35.0639,-78.832
"Lillington Health and Rehabilitation Center","1995 East Cornelius Harnett Boulevard",Lillington,NC,27546,9109835141,129,126.1,,35.4083,-78.77
"River Trace Nursing and Rehabilitation Center","250 Lovers Lane",Washington,NC,27889,2529751636,140,118.6,,35.5496,-77.039
"Westfield Rehabilitation and Health Center","3100 Tramway Road",Sanford,NC,27330,9197755404,83,78.9,,35.4376,-79.189
"Premier Nursing and Rehabilitation Center","225 White Street",Jacksonville,NC,28546,9103537222,239,133.5,,34.7602,-77.388
"Mary Gran Nursing Center","120 Southwood Drive",Clinton,NC,28329,9105927981,212,108.2,,34.9815,-78.308
"Magnolia Lane Nursing and Rehabilitation Center","107 Magnolia Drive",Morganton,NC,28655,8284378760,121,75.0,,35.7247,-81.693
"The Greens at Weaverville","78 Weaver Boulevard",Weaverville,NC,28787,8286454297,122,90.2,,35.7038,-82.567
"Autumn Care of Drexel","307 Oakland Avenue",Morganton,NC,28655,8284336180,100,89.4,,35.7592,-81.601
"Valley Hill Health & Rehab Center","1510 Hebron Road",Hendersonville,NC,28739,8286938461,150,80.0,,35.3068,-82.476
"Signature Healthcare of Chapel Hill","1602 E Franklin Street","Chapel Hill",NC,27514,9199671418,108,94.8,,35.933,-79.031
"Peak Resources-Outer Banks","430  West Health Center Drive","Nags Head",NC,27959,2524413116,126,97.0,,35.9776,-75.648
"Cypress Valley Center for Nursing and Rehabilitati","543 Maple Avenue",REIDSVILLE,NC,27320,3363421382,110,96.7,,36.352,-79.669
"Ridgewood Living & Rehabilitation Center","1624 Highland Drive",Washington,NC,27889,2529469570,128,114.0,,35.5547,-77.024
"Peak Resources- Shelby","1101 North Morgan Street",Shelby,NC,28150,7044825396,100,72.3,,35.3048,-81.541
"The Greens at Hickory","3031 Tate Boulevard SE",Hickory,NC,28602,8283223343,150,110.4,,35.728,-81.3
"Deer Park Health and Rehabilitation","306 Deer Park Road",Nebo,NC,28761,8286523032,140,125.2,,35.6522,-81.886
"Harborview Lumberton","1555 Willis Avenue",Lumberton,NC,28358,9107396048,122,110.5,,34.629,-78.992
"Twin Lakes Community","3802 Wade Coble Drive",Burlington,NC,27215,3365381400,104,95.1,,36.0814,-79.524
"August Healthcare at Wilmington","820 Wellington Avenue",Wilmington,NC,28401,9103430425,120,87.3,,34.1952,-77.932
"Barbour Court Nursing and Rehabilitation Center","515 Barbour Road",Smithfield,NC,27577,9199346017,165,134.6,,35.5405,-78.359
"White Oak Manor - Charlotte","4009 Craig Avenue",Charlotte,NC,28211,7043652620,180,143.3,,35.1859,-80.783
"Warren Hills Nursing Center","864 US HWY 158 Business West",Warrenton,NC,27589,2522572011,140,89.8,,36.3972,-78.152
"Eden Rehabilitation and Healthcare Center","226 N Oakland Avenue",Eden,NC,27288,3366231750,112,99.6,,36.5074,-79.779
"Accordius Health at Charlotte","5939 Reddman Road",Charlotte,NC,28212,7047036060,116,89.5,,35.2011,-80.751
"Hickory Falls Health and Rehabilitation","100 Sunset Street","Granite Falls",NC,28630,8283962387,120,114.6,,35.8011,-81.447
"Valley Nursing and Rehabilitation Center","581 NC Highway 16 South",Taylorsville,NC,28681,8286328146,183,113.0,,35.8724,-81.213
"UNC Rockingham Rehab & Nursing Care Center","205 East Kings Highway",Eden,NC,27288,3366239711,121,59.8,,36.4937,-79.738
"The Greens at Lincolnton","515 S Generals Boulevard",Lincolnton,NC,28093,7047358065,117,104.6,,35.4573,-81.242
"Warsaw Rehabilitation and Healthcare Center","214 Lanefield Road",Warsaw,NC,28398,9102933144,100,82.3,,34.9936,-78.076
"The Lodge at Mills River","5593 Old Haywood Road","Mills River",NC,28759,8286844857,50,45.2,,35.4263,-82.574
"Monroe Rehabilitation Center","1212 Sunset Drive East",Monroe,NC,28112,7042838548,147,112.3,,34.97,-80.53
"Carolina Care Health and Rehabilitation","111 Harrelson Street",Cherryville,NC,28021,7044354161,107,102.1,,35.3943,-81.393
"Kannapolis Health and Rehabilitation","1810 Concord Lake Road",Kannapolis,NC,28083,7049333781,107,82.6,,35.4644,-80.6
"Rocky Mount Rehabilitation Center","160 S Winstead Avenue","Rocky Mount",NC,27804,2524437666,117,106.0,,35.9606,-77.849
"Lotus Village Center for Nursing and Rehabilitatio","179 Combs Street",Sparta,NC,28675,3363722441,90,72.6,,36.5053,-81.125
"Hertford Rehabilitation and Healthcare Center","1300 Don Juan Road",Hertford,NC,27944,2524265391,78,64.5,,36.2021,-76.493
"Macon Valley Nursing and Rehabilitation Center","3195 Old Murphy Road",Franklin,NC,28734,8285247806,200,81.8,,35.167,-83.434
"Stanley Total Living Center","514 Old Mount Holly Road",Stanley,NC,28164,7042631986,106,85.5,,35.3551,-81.085
"Yanceyville Rehabilitation and Healthcare Center","1086 Main Street North",Yanceyville,NC,27379,3366945916,157,137.4,,36.413,-79.348
"The Carrolton of Plymouth","1084 US 64 East",Plymouth,NC,27962,2527932100,114,72.7,,35.8593,-76.745
"Bladen East Health And Rehab","804 S Poplar Street",Elizabethtown,NC,28337,9108628100,90,65.9,,34.6205,-78.611
"Autumn Care of Marshville","311 W Phifer Street",Marshville,NC,28103,7046246643,110,74.9,,34.991,-80.372
"Autumn Care of Salisbury","1505 Bringle Ferry Road",Salisbury,NC,28146,7046375885,97,88.4,,35.6629,-80.446
"The Greens at Spruce Pines","218 Laurel Creek Court","Spruce Pine",NC,28777,8287657312,127,102.3,,35.9065,-82.088
"Kindred Hospital East Greensboro","2401 South Side Boulevard",Greensboro,NC,27406,3362712800,23,21.4,,36.0493,-79.772
"Asheboro Rehabilitation and Healthcare Center","400 Vision Drive",Asheboro,NC,27203,3366725450,100,94.1,,35.7353,-79.816
"NORTHERN REGIONAL HOSPITAL","830 ROCKFORD STREET","MOUNT AIRY",NC,27030,3367197000,33,31.4,,36.4884,-80.611
"The Carrolton of Nash","7369 Hunter Hill Road","Rocky Mount",NC,27804,2524430867,141,121.3,,35.9853,-77.84
"Autumn Care of Raeford","1206 N Fulton Street",Raeford,NC,28376,9108754280,132,125.2,,34.9921,-79.228
"Stanly Manor","625 Bethany Church Road",Albemarle,NC,28001,9803237373,90,55.6,,35.3438,-80.226
"Cleveland Pines","1404 N Lafayette Street",Shelby,NC,28150,9804871500,120,104.2,,35.3177,-81.538
"The Citadel Mooresville","550 Glenwood Drive",Mooresville,NC,28115,7046647494,130,97.8,,35.5701,-80.808
"The Oaks","901 Bethesda Road",Winston-Salem,NC,27103,3367682211,131,117.8,,36.0777,-80.294
"Orchard Valley Health and Rehabilitation","200 Heritage Circle",Hendersonville,NC,28791,8286935849,134,94.4,,35.3646,-82.491
"Compass Healthcare and Rehab Rowan, LLC","1404 S Salisbury Avenue",Spencer,NC,28159,7046333892,70,63.2,,35.6823,-80.445
"Currituck Health & Rehab Center","3907 Caratoke Highway",Barco,NC,27917,2524570500,100,68.8,,36.3852,-75.975
"Oxford Health and Rehabilitation Center","500 Prospect Avenue",Oxford,NC,27565,9196931531,160,156.0,,36.3272,-78.599
"Grantsbrook Nursing and Rehabilitation Center","290 Keel Road",Grantsboro,NC,28529,2527455005,96,75.3,,35.139,-76.821
"Richmond Pines Healthcare and Rehabilitation Cente","Highway 177 S",Hamlet,NC,28345,9105820021,105,83.1,,34.8995,-79.69
"Autumn Care of Shallotte","237 Mulberry Street",Shallotte,NC,28459,9107548858,100,94.5,,33.9769,-78.389
"Margate Health and Rehab Center","540 Waugh Street",Jefferson,NC,28640,3362465581,210,127.1,,36.4238,-81.456
"Scotia Village - SNF","2200 Elm Drive",Laurinburg,NC,28352,9102772000,58,54.7,,34.736,-79.488
"The Laurels of Pender","311 S Campbell Street",Burgaw,NC,28425,9102596007,98,89.1,,34.5498,-77.92
"White Oak Manor - Burlington","323 Baldwin Road",Burlington,NC,27217,3362295571,160,120.6,,36.1008,-79.42
"Vero Health & Rehab of Sylva","417 Cloverdale Road",Sylva,NC,28779,8286311600,106,83.3,,35.3777,-83.212
"The Laurels Of Greentree Ridge","70 Sweeten Creek Road",Asheville,NC,28803,8282747646,90,84.9,,35.5636,-82.532
"Accordius Health at Midwood, LLC","2727 Shamrock Drive",Charlotte,NC,28205,7045192400,100,65.2,,35.2381,-80.781
"Smoky Ridge Health and Rehabilitation","310 Pensacola Road",Burnsville,NC,28714,8286829759,140,98.8,,35.9099,-82.292
"IREDELL MEMORIAL HOSPITAL INC","557 BROOKDALE DRIVE",STATESVILLE,NC,28677,7048784541,48,100.9,,35.7996,-80.877
"Juniper Gardens Center for Nursing and Rehabilitat","4414 Wilkinson Blvd",Gastonia,NC,28056,7048245550,50,40.5,,35.2561,-81.103
"Liberty Commons Nursing and Rehabilitation Center","101 Caroline Avenue",Weldon,NC,27890,2525364817,50,44.5,,36.4165,-77.607
"Piedmont Crossing","100 Hedrick Drive",Thomasville,NC,27360,3364722017,104,75.9,,35.8435,-80.107
"Roxboro Healthcare & Rehab Center","901 Ridge Road",Roxboro,NC,27573,3365990106,140,97.6,,36.4091,-78.984
"The Greens at Hendersonville","1870 Pisgah Drive",Hendersonville,NC,28791,8286939796,120,102.8,,35.3238,-82.493
"Northampton Nursing and Rehabilitation Center","HWY 305 North",Jackson,NC,27845,2525340131,80,75.1,,36.3827,-77.39
"Fair Haven of Forest City, LLC","830 Bethany Church Road","Forest City",NC,28043,8282452852,100,85.1,,35.3023,-81.894
"The Carrolton of Lumberton","1170 Linkhaw Road",Lumberton,NC,28358,9106711163,90,84.2,,34.6443,-78.988
"Senior Citizens Home","2275 Ruin Creek Road",Henderson,NC,27537,2524920066,60,52.8,,36.3085,-78.456
"Clayton Rehabilitation and Healthcare Center","204 Dairy Road",Clayton,NC,27520,9195538232,90,82.2,,35.6369,-78.471
