"Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote",Latitude,Longitude
"Brunswick Cove Nursing Center","1478 River Road",Winnabow,NC,28479,9103719894,175,121.7,,34.1851,-77.989
"Elderberry Health Care","415 Elderberry Lane",Marshall,NC,28753,8282521790,80,73.2,,35.7962,-82.65
"Kerr Lake Nursing and Rehabilitation Center","1245 Park Avenue",Henderson,NC,27536,2524927021,92,68.2,,36.3231,-78.417
"The Laurels of Hendersonville","290 Clear Creek Road",Hendersonville,NC,28792,8286926000,100,91.3,,35.3437,-82.458
"Wallace Rehabilitation and Healthcare Center","647 S East Railroad Street",Wallace,NC,28466,9102859700,80,76.3,,34.7263,-77.993
"The Carrolton of Dunn","711 Susan Tart Road",Dunn,NC,28335,9108928843,100,91.3,,35.3041,-78.628
"Willowbrooke Court SC Ctr at Matthews Glen","740 Pavilion View Drive",Matthews,NC,28105,7048456220,15,8.3,,35.1143,-80.694
"Givens Health Center","600 Barrett Lane",Asheville,NC,28803,8287712900,70,58.5,,35.5042,-82.511
"Hibriten Mountain Nursing and Rehabilitation","2030 Harper Avenue NW",Lenoir,NC,28645,8287543888,100,70.4,,35.9011,-81.563
"The Graybrier Nursing and Retirement Center","116 Lane Drive",Trinity,NC,27370,3364318888,128,103.0,,35.883,-79.945
"Sardis Oaks","5151 Sardis Road",Charlotte,NC,28270,7043654202,124,90.7,,35.1579,-80.791
"Wilson Healthcare and Rehabilitation Center","2501 Downing St SW",Wilson,NC,27893,2522376300,81,93.3,,35.7108,-77.941
"Abbotts Creek Center","877 Hill Everhart Road",Lexington,NC,27295,3362486644,64,59.6,,35.8515,-80.227
"Franklin Oaks Nursing and Rehabilitation Center","1704 NC Highway 39 N",Louisburg,NC,27549,9194967222,166,138.3,,36.0898,-78.3
"Signature Healthcare of Roanoke Rapids","305 East Fourteenth Street","Roanoke Rapids",NC,27870,2525376181,108,75.3,,36.4482,-77.657
"Peak Resources - Alamance, Inc","215 College Street",Graham,NC,27253,3362288394,142,132.3,,36.0763,-79.405
"Windsor Rehabilitation and Healthcare Center","1306 South King Street",Windsor,NC,27983,2527945146,82,64.3,,35.9895,-76.93
"The Greens at Maple Leaf","1101 Maple Care Lane",Statesville,NC,28625,7048710705,94,85.6,,35.8112,-80.844
"Silver Bluff","100 Silver Bluff Drive",Canton,NC,28716,8286482044,131,120.7,,35.4825,-82.879
"Big Elm Retirement and Nursing Centers","1285 West A Street",Kannapolis,NC,28081,7049320000,50,46.8,,35.513,-80.632
"Goldsboro Rehabilitation and Healthcare Center","1700 Wayne Memorial Drive",Goldsboro,NC,27534,9197312805,130,128.3,,35.3939,-77.973
"Camellia Gardens Center for Nursing and Rehab","280 South Beckford Drive",Henderson,NC,27536,2524386141,78,62.2,,36.3372,-78.417
"Accordius Health at Monroe","204 Old Highway 74 East",Monroe,NC,28112,7048000601,60,53.3,,34.9762,-80.495
"Whispering Pines Nursing & Rehab Center","523 Country Club Drive",Fayetteville,NC,28301,9104880711,86,71.5,,35.1042,-78.887
"Woodbury Wellness Center Inc","2778 Country Club Drive",Hampstead,NC,28443,9102701443,112,104.2,,34.3974,-77.645
"Courtland Terrace","2300 Aberdeen Boulevard",Gastonia,NC,28054,7048344800,77,71.9,,35.2685,-81.139
"Autumn Care of Saluda","501 Esseola Circle",Saluda,NC,28773,8287492261,99,88.7,,35.2437,-82.347
"Highland House Rehabilitation and Healthcare","1700 Pamalee Drive",Fayetteville,NC,28301,9104882295,106,86.1,,35.0903,-78.921
"Piney Grove Nursing and Rehabilitation Center","728 Piney Grove Road",Kernersville,NC,27284,3369964038,92,86.2,,36.1356,-80.071
"Graham Healthcare and Rehabilitation Center","811 Snowbird Road",Robbinsville,NC,28771,8284798421,80,54.0,,35.3115,-83.816
"Rich Square Nursing & Rehabilitation Center","300 North Main Street","Rich Square",NC,27869,2525394161,69,53.3,,36.2775,-77.281
PruittHealth-Neuse,"1303 Health Drive","New Bern",NC,28560,2526342560,110,87.1,,35.1139,-77.069
"Louisburg Healthcare & Rehabilitation Center","202 Smoketree Way",Louisburg,NC,27549,9194962188,92,88.6,,36.1137,-78.3
"Ahoskie Health and Rehabilitation Center","604 Stokes Street East",Ahoskie,NC,27910,2523322126,151,115.6,,36.2777,-76.984
"The Greens at Cabarrus","250 Bishop Lane",Concord,NC,28025,7047886400,90,81.7,,35.4533,-80.604
"Compass Healthcare and Rehab Hawfields, Inc.","2502 S NC 119",Mebane,NC,27302,3365784701,117,83.0,,36.0899,-79.286
"Signature Healthcare of Kinston","907 Cunningham Road",Kinston,NC,28501,2525275146,106,86.8,,35.2929,-77.563
"Greendale Forest Nursing and Rehabilitation Center","1304 SE Second Street","Snow Hill",NC,28580,2527478126,115,100.9,,35.4356,-77.66
"Liberty Healthcare Services of Golden Years Nursin","7348 North West Street",Falcon,NC,28342,9109801271,58,50.7,,35.1945,-78.648
"Rex Rehab & Nursing Care Center","4210 Lake Boone Trail",Raleigh,NC,27607,9197846600,120,98.0,,35.8155,-78.701
"Pinehurst Healthcare & Rehabilitation Center","300 Blake Boulevard",Pinehurst,NC,28374,9102956158,144,121.6,,35.1708,-79.465
PruittHealth-Trent,"836 Hospital Drive","New Bern",NC,28560,2526386001,116,99.6,,35.1126,-77.066
"Wilson Pines Nursing and Rehabilitation Center","403 Crestview Avenue",Wilson,NC,27893,2522370724,108,96.6,,35.7159,-77.943
"Liberty Commons Nursing & Rehab Center of Southpor","630 Fodale Avenue",Southport,NC,28461,9104579581,99,67.5,,33.9299,-78.02
"Scotland Manor Health and Rehabilitation Center","920 Jr High School Road","Scotland Neck",NC,27874,2528265146,62,49.7,,36.1269,-77.426
"The Carrolton of Fayetteville","2461 Legion Road",Fayetteville,NC,28306,9104249417,120,117.1,,35.013,-78.908
"East Carolina Health and Rehabilitation Center","2575 W 5th Street",Greenville,NC,27834,2528309100,130,69.9,,35.6197,-77.415
PruittHealth-Rockingham,"804 South Long Drive",Rockingham,NC,28379,9109974493,120,77.6,,34.9316,-79.751
"Village Green Health and Rehabilitation","1601 Purdue Drive",Fayetteville,NC,28304,9104865000,170,114.7,,35.0417,-78.924
"Village Care of King","440 Ingram Road",King,NC,27021,3369834900,96,92.2,,36.2676,-80.372
"Scottish Pines Rehabilitation and Nursing Center","620 Johns Road",Laurinburg,NC,28352,9103614000,149,121.9,,34.7605,-79.466
PruittHealth-Farmville,"4351 South Main Street",Farmville,NC,27828,2527535547,56,50.7,,35.5784,-77.594
"Cardinal Healthcare and Rehabilitation","931 N Aspen Street",Lincolnton,NC,28092,7047327055,63,59.4,,35.481,-81.258
"WILKES REGIONAL MEDICAL CTR SN","1370 WEST D STREET","NORTH WILKESBORO",NC,28659,3366518100,10,7.5,,36.1583,-81.158
"Crown Haven Health and Rehabilitation","620 Tom Hunter Road",Charlotte,NC,28213,7045985136,120,84.7,,35.2789,-80.774
"The Laurels of Forest Glenn","1101 Hartwell Street",Garner,NC,27529,9197728888,120,105.5,,35.7072,-78.624
Countryside,"7700 US Highway 158",Stokesdale,NC,27357,3366436301,60,52.3,,36.2342,-79.963
"Heartland Living & Rehab at the Moses H Cone Memor","1131 North Church Street",Greensboro,NC,27401,3363585100,107,94.0,,36.0914,-79.784
"Wadesboro Health & Rehab Center","2051 Country Club Road",Wadesboro,NC,28170,7046944106,66,58.5,,34.9438,-80.052
"Pisgah Manor Health Care Center","104 Holcombe Cove Road",Candler,NC,28715,8286679851,118,101.6,,35.5707,-82.674
"Brook Stone Living Center","8990 Highway 17 South",Pollocksville,NC,28573,2522240112,80,60.0,,35,-77.224
"Peak Resources-Cherryville","7615 Dallas Cherryville Highway",Cherryville,NC,28021,7044356029,70,65.4,,35.3862,-81.349
"Smoky Mountain Health and Rehabilitation Center","1349 Crabtree Road",Waynesville,NC,28785,8284549260,50,46.6,,35.5409,-82.956
"Shoreland Health Care and Retirement Center Inc","200 Flower-Pridgen Drive",Whiteville,NC,28472,9106424300,89,85.5,,34.3343,-78.703
"Skyland Care Center","193 Asheville Highway",Sylva,NC,28779,8285868935,94,88.1,,35.3768,-83.213
"Wilkesboro Health and Rehabilitation","204 Old Brickyard Road","North Wilkesboro",NC,28659,3366672020,111,99.8,,36.1561,-81.174
"Highfield Nursing and Rehabilitation","6590 Tryon Road",Cary,NC,27518,9198518000,120,94.0,,35.7427,-78.766
"Three Rivers Health and Rehabilitation Center","1403 Conner Drive",Windsor,NC,27983,2527944441,60,50.1,,35.9878,-76.929
"Charlotte Health & Rehabilitation Center","1735 Toddville Road",Charlotte,NC,28214,7043944001,90,89.0,,35.2616,-80.923
"Gates Health and Rehabilitation Center","38 Carters Road",Gatesville,NC,27938,2523572124,70,51.5,,36.3896,-76.739
"Southpoint Rehabilitation and Healthcare Center","6000 Fayetteville Road",Durham,NC,27713,9195449021,140,123.9,,35.9174,-78.931
"Pembroke Center","310 E Wardell Drive",Pembroke,NC,28372,9105211273,84,74.0,,34.6851,-79.183
"Central Continuing Care","1287 Newsome Street","Mount Airy",NC,27030,3367862133,120,83.2,,36.4818,-80.603
"Skyland Terrace and Rehabilitation","516 Wall Street",Waynesville,NC,28786,8284523154,90,82.9,,35.4936,-82.982
"Brantwood Nh & Retirement Center","1038 College Street",Oxford,NC,27565,9196903334,80,66.4,,36.3261,-78.595
"Fleshers Fairview Health Care","3016 Cane Creek Road",Fairview,NC,28730,8286282800,106,53.6,,35.5066,-82.417
"Haymount Rehabilitation & Nursing Center, Inc.","2346 Barrington Circle",Fayetteville,NC,28303,9106890150,98,91.1,,35.0709,-78.92
"Pineville Rehabilitation and Living Center","1010 Lakeview Drive",Pineville,NC,28134,7048892273,106,93.0,,35.079,-80.897
"Bermuda Village Retirement Center","142 Bermuda Village Drive","Bermuda Run",NC,27006,3369986112,36,35.3,,35.9965,-80.431
"Hillside Nursing Center of Wake Forest","968 East Wait Avenue","Wake Forest",NC,27588,9195564082,130,111.3,,35.9749,-78.499
"Swannanoa Valley Health and Rehabilitation","1984 US Highway 70",Swannanoa,NC,28778,8282982214,106,102.8,,35.5919,-82.441
"Lexington Health Care Center","17 Cornelia Drive",Lexington,NC,27292,3362421349,100,97.1,,35.8175,-80.241
"Alamance Health Care Center","1987 Hilton Road",Burlington,NC,27217,3362260848,180,174.2,,36.0997,-79.403
"The Laurels of Chatham","72 Chatham Business Park",Pittsboro,NC,27312,9195426677,140,122.1,,35.719,-79.162
"Wilson Rehabilitation and Nursing Center","1705 South Tarboro Street",Wilson,NC,27893,2523998998,90,71.7,,35.7205,-77.91
"Fair Haven Home Inc","149 Fair Haven Drive",Bostic,NC,28018,8282459095,30,27.8,,35.3379,-81.807
"Valley View Care and Rehabilitation","551 Kent Street",Andrews,NC,28901,8283213075,76,55.5,,35.1958,-83.839
"The Laurels of Salisbury","215 Lash Drive",Salisbury,NC,28147,7046371182,80,55.9,,35.6941,-80.523
"Peak Resources - Pinelake","801 Pinehurst Avenue",Carthage,NC,28327,9109475155,108,89.0,,35.3327,-79.416
"Bryan Health and Rehab","921 Junior High School Road","Scotland Neck",NC,27874,2528264144,60,48.0,,36.1303,-77.421
"River Bend Health and Rehabilitation","213 Richmond Hill Drive",Asheville,NC,28806,8282549675,100,73.7,,35.6133,-82.584
"Clay County Health and Rehabilitation","86 Valley Hideaway Drive",Hayesville,NC,28904,8283899941,90,76.4,,35.0423,-83.809
"Carver Living Center","303 East Carver Street",Durham,NC,27704,9194713558,232,178.9,,36.0414,-78.895
"Wellington Rehabilitation and Healthcare","1000 Tandal Place",Knightdale,NC,27545,9192667744,80,68.2,,35.7877,-78.483
"Eckerd Living Center","250 Hospital Drive",Highlands,NC,28741,8285261315,80,46.7,,35.0865,-83.185
"The Laurels of Summit Ridge","100 Riceville Road",Asheville,NC,28805,8282991110,68,61.1,,35.5903,-82.486
"Peak Resources - Brookshire, Inc","300 Meadowlands Drive",Hillsborough,NC,27278,9196446714,80,74.6,,36.0746,-79.078
"Gastonia Health & Rehab Center","1770 Oak Hollow Road",Gastonia,NC,28054,7048538175,60,55.4,,35.2873,-81.158
"Forrest Oakes Healthcare","620 Heathwood Drive",Albemarle,NC,28001,7049832686,60,51.3,,35.3546,-80.16
"Oak Forest Health and Rehabilitation","5680 Windy Hill Drive","Winston Salem",NC,27105,3367765000,170,156.6,,36.1955,-80.261
Glenaire,"4000 Glenaire Circle",Cary,NC,27511,9194608095,71,64.6,,35.7754,-78.785
"College Pines Health and Rehabilitation","95 Locust Street","Connelly Springs",NC,28612,8285806800,100,98.3,,35.7457,-81.52
"Emerald Ridge Health and Rehabilitation","25 Reynolds Mountain Boulevard",Asheville,NC,28804,8286456619,100,88.1,,35.646,-82.579
"Maple Grove Health and Rehabilitation Center","308 West Meadowview Road",Greensboro,NC,27406,3362300534,210,99.8,,36.0394,-79.797
"Universal Health Care/King","115 White Road",King,NC,27021,3369836505,96,88.4,,36.285,-80.371
"Westwood Health and Rehabilitation","625 Ashland Street",Archdale,NC,27263,3364342902,68,63.1,,35.9175,-79.957
"Belaire Health Care Center","2065 Lyon Street",Gastonia,NC,28052,7048677300,80,73.4,,35.2332,-81.205
"Treyburn Rehabilitation Center","2059 Torredge Road",Durham,NC,27712,9194774474,132,96.8,,36.0983,-78.868
"Willowbrooke Court SC Ctr at Tryon Estates","619 Laurel Lake Drive",Columbus,NC,28722,8288945500,16,8.8,,35.2356,-82.201
"Guilford Health Care Center","2041 Willow Road",Greensboro,NC,27406,3362729700,110,104.9,,36.0403,-79.762
"The Oaks-Brevard","300 Morris Road",Brevard,NC,28712,8288774020,110,79.0,,35.2617,-82.712
"Life Care Center of Hendersonville","400 Thompson Street",Hendersonville,NC,28792,8286974348,80,64.6,,35.3414,-82.447
"Oak Grove Healthcare","518 Old US 221 Highway",Rutherfordton,NC,28139,8282877655,60,53.2,,35.3782,-81.978
"Bayview Nursing & Rehabilitation Center","3003 Kensington Park Drive","New Bern",NC,28560,2526381818,60,56.4,,35.1406,-77.102
"Willowbrook Rehabilitation and Care","333 East Lee Street",Yadkinville,NC,27055,3366798028,76,68.6,,36.1255,-80.655
"NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER-SNU","200 HAWTHORNE LANE",CHARLOTTE,NC,28207,7043844000,12,10.8,,35.2129,-80.826
"Liberty Commons Rehabilitation Center","121 Racine Drive",Wilmington,NC,28403,9104524070,82,78.8,,34.2423,-77.862
"Mecklenburg Heath and Rehabilitation","2415 Sandy Porter Road",Charlotte,NC,28273,7045830430,100,91.3,,35.1361,-80.941
"Southwood Nursing and Retirement","180 Southwood Drive",Clinton,NC,28328,9105928165,100,85.0,,34.9809,-78.308
"Wilora Lake Healthcare","6001 Wilora Lake Road",Charlotte,NC,28212,7045632922,70,62.0,,35.2106,-80.747
"Tsali Care Center","267 Tsali Care Way",Cherokee,NC,28719,8284975048,72,69.9,,35.4745,-83.341
"Biltmore Haven Nursing and Rehabilitation","3864 Sweeten Creek Road",Arden,NC,28704,8286810904,100,76.7,,35.4684,-82.514
"Harnett Woods Nursing and Rehabilitation Center","604 Lucas Road",Dunn,NC,28334,9108914600,100,87.8,,35.3137,-78.649
Salemtowne,"1550 Babcock Drive",Winston-Salem,NC,27106,3367678130,100,93.2,,36.1496,-80.323
"Woodlands Nursing & Rehabilitation Center","400 Pelt Drive",Fayetteville,NC,28301,9108220515,80,75.3,,35.0879,-78.913
"Brookdale Carriage Club Providence","5804 Old Providence Road",Charlotte,NC,28226,7043658551,14,5.8,,35.1344,-80.785
"Shaire Nursing Center","1450 Shaire Center Drive",Lenoir,NC,28645,8287284673,60,50.8,,35.8558,-81.535
"TRANSYLVANIA REGIONAL HOSPITAL","260 HOSPITAL DRIVE",BREVARD,NC,28712,8288835156,10,6.3,,35.2564,-82.712
"Cherry Point Bay Nursing and Rehabilitation Center","110 McC0tter Boulevard",Havelock,NC,28532,2524444631,70,63.1,,34.893,-76.901
"Rockwell Park Rehabilitation and Healthcare Center","1930 West Sugar Creek Road",Charlotte,NC,28262,7045984480,120,96.4,,35.2896,-80.796
"Ayden Court Nursing and Rehabilitation Center","128 Snow Hill Road",Ayden,NC,28513,2527468223,82,75.3,,35.4663,-77.435
"Croatan Ridge Nursing and Rehabilitation Center","210 Foxhall Road",Newport,NC,28570,2522232560,64,58.8,,34.7998,-76.872
"Hendersonville Health and Rehabilitation","104 College Drive","Flat Rock",NC,28731,8286938600,130,101.9,,35.304,-82.416
"Peak Resources - Gastonia","2780 X-Ray Drive",Gastonia,NC,28054,7048610981,104,89.4,,35.2778,-81.14
"The Stewart Health Center","6920 Marching Duck Drive",Charlotte,NC,28210,7047145555,65,58.6,,35.1373,-80.851
"Liberty Commons Nursing & Rehabilitation Center of","791 Boone Station Drive",Burlington,NC,27215,3365869850,122,112.9,,36.0724,-79.503
"Litchford Falls Health and Rehabilitation Center","8200 Litchford Road",Raleigh,NC,27615,9198787772,90,86.2,,35.8901,-78.603
"Windsor Point Continuing Care","1221 Broad Street",Fuquay-Varina,NC,27526,9195524580,45,24.0,,35.6001,-78.802
"Croasdaile Village","2600 Croasdaile Farm Parkway",Durham,NC,27705,9193842304,102,82.4,,36.041,-78.943
"Lake Park Nursing and Rehabilitation Center","3315 Faith Church Road","Indian Trail",NC,28079,7048823420,120,100.6,,35.0762,-80.636
"Liberty Commons Nsg and Rehab Ctr of Rowan County","4412 South Main Street",Salisbury,NC,28147,7046373040,90,83.0,,35.6244,-80.528
"Carolina Rehab Center of Cumberland","4600 Cumberland Road",Fayetteville,NC,28306,9104291690,136,131.8,,35.0078,-78.962
"Whitestone a Masonic and Eastern Star Community","700 South Holden Road",Greensboro,NC,27407,3362990031,60,52.3,,36.0643,-79.848
"Autumn Care of Myrtle Grove","5725 Carolina Beach Road",Wilmington,NC,28412,9107921455,90,82.5,,34.1304,-77.897
"UNC Rex Rehab & Nursing Care Center of Apex","911 South Hughes Street",Apex,NC,27502,9193636011,107,85.7,,35.7175,-78.848
"Dahlia Gardens Center for Nursing and Rehabilitati","915 Pee Dee Road",Aberdeen,NC,28315,9109448999,90,87.9,,35.1295,-79.414
"Tarboro Health and Rehabilitation","911 Western Boulevard",Tarboro,NC,27886,2528232041,118,88.0,,35.8955,-77.556
"Autumn Care of Statesville","2001 Vanhaven Drive",Statesville,NC,28625,7048839700,103,98.9,,35.7943,-80.851
"Cypress Glen Retirement Community","1000 Hickory Street",Greenville,NC,27858,2528300036,6,2.5,,35.6068,-77.349
"Tower Nursing and Rehabilitation Center","3609 Bond Street",Raleigh,NC,27604,9192318113,180,80.0,,35.8027,-78.582
"Autumn Care of Nash","1210 Eastern Avenue",Nashville,NC,27856,2524620070,60,55.9,,35.9707,-77.932
"PruittHealth-Town Center","6300 Roberta Road",Harrisburg,NC,28075,7044555553,70,65.4,,35.3295,-80.647
"Conover Nursing And Rehabilitation Center","920 4th Street Southwest",Conover,NC,28613,8286958282,90,75.1,,35.7038,-81.232
"Inn at Quail Haven Village","155 Blake Boulevard",Pinehurst,NC,28374,9102952294,35,45.4,,35.1708,-79.466
"Liberty Commons Nursing & Rehabilitation Center of","2315 Highway 242 North",Benson,NC,27504,9192071717,100,97.2,,35.4033,-78.541
"Magnolia Gardens Center for Nursing and Rehabilita","1028 Blair Street",Thomasville,NC,27360,3364727771,120,99.5,,35.8901,-80.063
"Fletcher Rehabilitation and Healthcare Center","86 Old Airport Road",Fletcher,NC,28732,8286549060,90,73.4,,35.4415,-82.5
"Ramseur Rehabilitation and Healthcare Center","7166 Jordon Road",Ramseur,NC,27316,3368248828,90,81.6,,35.7031,-79.624
"The Gardens of Taylor Glen Retirement Community","3700 Taylor Glen Lane",Concord,NC,28027,7047886510,24,2.4,,35.4118,-80.647
"Carolina Rehab Center of Burke","3647 Miller Bridge Road","Connelly Spring",NC,28612,8283973144,90,81.9,,35.7118,-81.47
"River Landing at Sandy Ridge","1575 John Knox Drive",Colfax,NC,27235,3366684900,60,53.8,,36.0639,-80.014
"Universal Health Care/North Raleigh","5201 Clarks Fork Drive NW",Raleigh,NC,27616,9198727033,132,117.8,,35.8897,-78.556
"Penn Nursing Center","618-A S Main Street",Reidsville,NC,27320,3369516090,82,71.2,,36.3545,-79.666
"NC State Veterans Home - Salisbury","1601 Brenner Ave., Building #10",Salisbury,NC,28145,7046384200,99,84.5,,35.6613,-80.447
"Liberty Commons Nursing and Rehabilitation Center","310 Commerce Drive",Sanford,NC,27332,9194992206,80,77.3,,35.4213,-79.125
"The Cedars of Chapel Hill","101 Green Cedar Lane","Chapel Hill",NC,27517,9192597903,12,8.7,,35.909,-79.008
"Sanford Health & Rehabilitation Co","2702 Farrell Road",Sanford,NC,27330,9197769602,131,106.1,,35.5686,-79.125
"Adams Farm Living & Rehabilitation","5100 Mackay Road",Jamestown,NC,27282,3368555596,120,103.0,,36.0158,-79.898
"Peak Resources-Wilmington, Inc","2305 Silver Stream Lane",Wilmington,NC,28401,9103623621,110,90.8,,34.1973,-77.933
PruittHealth-Raleigh,"2420 Lake Wheeler Road",Raleigh,NC,27603,9197550226,150,139.9,,35.7474,-78.674
"The Arbor","300 Clynelish Close",Pittsboro,NC,27312,9195452690,16,11.3,,35.7929,-79.097
"Lakeside Health & Rehab Center","13825 Hunton Lane",Huntersville,NC,28078,7048972700,114,106.0,,35.4192,-80.868
"The Forest At Duke Inc","2701 Pickett Road",Durham,NC,27705,9194908000,4,3.4,,35.975,-78.949
"Bermuda Commons Nursing and Rehabilitation Center","316 NC Highway 801 South",Advance,NC,27006,3369980240,117,109.2,,36.0104,-80.447
"Asbury Health and Rehabilitation Center","3211 Bishops Way Lane",Charlotte,NC,28215,7045327000,120,104.1,,35.2329,-80.769
"The Rosewood Health Center","8710 Cypress Club Drive",Raleigh,NC,27615,9198709007,57,44.8,,35.8979,-78.66
"Camden Health and Rehabilitation","1 Marithe Court",Greensboro,NC,27407,3368529700,135,122.8,,36.0511,-79.883
"Ashton Health and Rehabilitation","5533 Burlington Road",McLeansville,NC,27301,3366980045,134,120.4,,36.0848,-79.667
"Brunswick Rehabilitation and Healthcare Center","1070 Old Ocean Highway",Bolivia,NC,28422,9107555955,90,80.0,,34.0372,-78.239
"White Oak of Waxhaw","700 Howie Mine Road",Waxhaw,NC,28173,7042437640,100,90.4,,34.9265,-80.735
"PruittHealth-Carolina Point","5935 Mount Sinai Road",Durham,NC,27705,9194022450,138,104.1,,35.9903,-78.995
"The Shannon Gray Rehabilitation & Recovery Center","2005 Shannon Gray Court",Jamestown,NC,27282,3363074729,150,99.3,,35.9891,-79.951
"Autumn Care of Fayetteville","1401 71st School Road",Fayetteville,NC,28314,9108674960,90,85.7,,35.0458,-79.008
"Trinity Grove","631 Junction Creek Drive",Wilmington,NC,28412,9104423000,100,93.1,,34.1434,-77.891
"Hillcrest Raleigh at Crabtree Valley","3830 Blue Ridge Road",Raleigh,NC,27612,9197814900,134,95.8,,35.8321,-78.682
"Deerfield Episcopal Retirement","1617  Hendersonville Road",Asheville,NC,28803,8282741531,62,61.2,,35.5106,-82.526
"Azalea Health & Rehab Center","3800 Independence Boulevard",Wilmington,NC,28412,9103923110,80,70.7,,34.1784,-77.922
"NC State Veterans Home - Black Mountain","62 Lake Eden Road","Black Mountain",NC,28711,8282576800,100,75.9,,35.6177,-82.371
"Homestead Hills","2101 Homestead Hills Drive",Winston-Salem,NC,27103,3366590386,40,28.0,,36.0572,-80.304
"NC State Veterans Home-Kinston","2150 Hull Road",Kinston,NC,28504,2529398000,100,93.9,,35.2847,-77.623
"Universal Health Care/Fuquay-Varina","410 S Judd Parkway SE","Fuquay Varina",NC,27526,9195770421,100,95.9,,35.589,-78.78
"Clear Creek Nursing & Rehabilitation Center","10506 Clear Creek Commerce Drive","Mint Hill",NC,28227,7045452377,120,111.3,,35.2133,-80.638
"Pavilion Health Center at Brightmore","10011 Providence Road West",Charlotte,NC,28277,9802458500,108,96.3,,35.0374,-80.831
"Sharon Towers","5100 Sharon Road",Charlotte,NC,28210,7045531670,19,5.9,,35.143,-80.834
"Trinity Elms","7449 Fair Oaks Drive",Clemmons,NC,27012,3367471153,100,85.7,,36.0246,-80.406
"PruittHealth-Union Pointe","3510 West Highway 74",Monroe,NC,28110,7042918500,90,80.4,,35.0303,-80.543
"Autumn Care of Cornelius","19530 Mount Zion Parkway",Cornelius,NC,28031,7049972970,102,96.0,,35.4732,-80.851
"Davis Health and Wellness Center at Cambridge Vill","83 Cavalier Drive STE 200",Wilmington,NC,28405,9106798300,20,17.1,,34.2817,-77.825
"Springbrook Nursing and Rehabilitation Center","195 Springbrook Avenue",Clayton,NC,27520,9195507200,100,94.3,,35.6363,-78.445
"Huntersville Health & Rehabilitation Center","13835 Boren Street",Huntersville,NC,28078,7049122222,90,87.1,,35.4022,-80.866
"Bradley Creek Health Center","740 Diamond Shoals Road",Wilmington,NC,28403,9107697550,30,28.3,,34.2369,-77.854
"The Cardinal at North Hills","311 Garden at North Hills Street",Raleigh,NC,27609,9842048444,15,12.5,,35.8353,-78.635
"Arbor Acres United Methodist Retirement Community","1250 Arbor Road","Winston Salem",NC,27104,3367247921,6,7.9,,36.1067,-80.279
"Bellarose Nursing And Rehab","200 Bellarose Lake Way",Garner,NC,27529,9199858400,100,88.5,,35.6702,-78.602
"Brunswick Health & Rehab Center","9600 NO 5 School Road",Ash,NC,28420,9102876007,100,93.0,,34.056,-78.518
"Parkview Health and Rehabilitation Center","1716 Legion Road","Chapel Hill",NC,27517,9842343600,108,95.8,,35.9428,-79.009
"Swift Creek Health Center","221 Brightmore Drive",Cary,NC,27511,9842003688,3,2.5,,35.7589,-78.781
"Briar Creek Health Center","6041 Piedmont Row Drive",Charlotte,NC,28210,9802248540,6,3.3,,35.1514,-80.84
"North Carolina State Veterans Home Kernersville","1795 Kernersville Medical Parkway",Kernersville,NC,27284,7432093042,120,17.0,,36.1163,-80.092
"Black Mountain Neuro-Medical Treatment Center","932 Old US Highway 70","Black Mountain",NC,28711,8282596700,163,74.3,,35.6076,-82.312
"O'Berry Neuro-Medical Treatment Center","400 Old Smithfield Road",Goldsboro,NC,27533,9195814001,144,119.1,,35.3994,-78.037
